click 1 1 | score 2
click 2 1 | score 4
click 2 2 | score 6
click 1 0 | score 8
click 2 0 | score 10
click 3 0 | score 12
click 4 0 | score 14
click 4 1 | score 16
click 3 1 | score 18
click 4 2 | score 20
click 0 0 | score 22
click 0 1 | score 24
click 0 4 | score 26
flag 0 3 | score 41
flag 1 3 | score 56
flag 1 4 | score 71
click 2 4 | score 73
click 4 4 | score 75
click 0 2 | score 77
click 1 2 | score 79
click 2 3 | score 81
click 3 4 | score 83
flag 3 3 | score 98
flag 4 3 | score 113
click 3 2 | score 115
