click 0 0 | score 2
click 3 0 | score 4
click 4 0 | score 6
click 4 1 | score 8
flag 3 1 | score -2
click 4 2 | score 0
flag 3 2 | score 15
click 4 3 | score 17
click 3 3 | score 19
click 4 4 | score 21
click 3 4 | score 23
click 2 4 | score 25
click 2 0 | score 27
flag 2 1 | score 42
flag 2 2 | score 57
click 2 3 | score 59
click 1 3 | score 61
click 1 2 | score 63
click 1 4 | score 65
click 0 4 | score 67
click 1 0 | score 69
flag 1 1 | score 84
flag 0 1 | score 84
click 0 2 | score 86
click 0 3 | score 88
