click 0 0 | score 2
click 0 1 | score 4
click 1 1 | score 6
click 1 0 | score 8
click 2 0 | score 10
click 2 1 | score 12
click 2 2 | score 14
click 0 2 | score 16
click 1 2 | score 18
click 3 1 | score 20
click 3 0 | score 22
click 4 0 | score 24
flag 4 1 | score 39
click 4 2 | score 41
click 3 2 | score 43
flag 2 3 | score 58
click 1 3 | score 60
flag 0 3 | score 75
flag 3 3 | score 90
click 4 3 | score 92
click 4 4 | score 94
click 3 4 | score 96
click 2 4 | score 98
click 1 4 | score 100
flag 0 4 | score 115
