click 0 0 | score 2
click 0 1 | score 4
click 1 0 | score 6
click 1 1 | score 8
click 2 0 | score 10
click 2 1 | score 12
click 3 0 | score 14
click 4 0 | score 16
click 3 1 | score 18
click 4 1 | score 20
click 0 4 | score 22
click 1 3 | score 24
click 3 4 | score 14
click 1 4 | score 16
click 2 4 | score 18
click 2 3 | score 20
click 3 3 | score 22
flag 0 3 | score 37
click 1 2 | score 27
click 0 2 | score 29
click 2 2 | score 31
click 3 2 | score 33
flag 4 2 | score 48
click 4 3 | score 50
flag 4 4 | score 65
