click 4 4 | score 2
click 3 4 | score 4
click 3 3 | score 6
click 4 3 | score 8
click 4 2 | score 10
flag 3 2 | score 25
click 2 3 | score 27
click 2 4 | score 29
click 2 2 | score 31
flag 1 2 | score 46
click 4 1 | score 48
click 3 1 | score 50
click 2 0 | score 52
flag 3 0 | score 42
flag 4 0 | score 57
flag 2 1 | score 72
click 1 0 | score 74
click 1 1 | score 76
click 0 0 | score 78
click 0 1 | score 80
click 0 2 | score 82
click 0 3 | score 84
click 1 3 | score 86
flag 1 4 | score 86
click 0 4 | score 88
