click 0 0 | score 2
click 3 3 | score 4
click 3 1 | score 6
click 0 4 | score 8
click 1 4 | score 10
click 2 4 | score 12
click 2 0 | score 14
click 4 0 | score 16
click 4 1 | score 18
flag 3 0 | score 33
click 2 1 | score 35
click 4 2 | score 37
click 3 2 | score 39
click 2 2 | score 41
click 3 4 | score 31
click 4 3 | score 33
flag 4 4 | score 48
click 2 3 | score 50
flag 1 3 | score 65
click 0 3 | score 67
click 0 2 | score 69
click 1 2 | score 71
click 1 1 | score 73
click 0 1 | score 75
flag 1 0 | score 90
